C,Gamma,Akurasi,Precision,Recall,F1-score
1.0,0.1,0.8781512605042017,0.8782491816838399,0.8781811426903379,0.8771535440094609
0.75,0.1,0.8781512605042017,0.879674537576603,0.8781811426903378,0.8762804406177693
0.5,0.1,0.8739495798319328,0.877842333105491,0.8739882705729375,0.8711379970869529
10.0,0.1,0.8718487394957983,0.872827305556276,0.8720775946713374,0.8700564716205794
0.25,0.1,0.8718487394957983,0.8769638268975539,0.8718918345142371,0.8686221186221186
100.0,0.1,0.8634453781512605,0.8633040935672515,0.8636918504365365,0.8613922085905199
100.0,0.001,0.8571428571428571,0.8726196070533477,0.8570310219462357,0.8582763250667784
10.0,0.001,0.842436974789916,0.8521497612821815,0.8423294323700343,0.8420072655331406
1.0,1.0,0.8466386554621849,0.8708488662701405,0.8469070933842847,0.8374614587551626
0.75,1.0,0.8403361344537815,0.8669241629152128,0.8406177852081841,0.8301092549121435
100.0,0.0001,0.8277310924369747,0.8344925221431683,0.8276543799591328,0.826392770782474
10.0,1.0,0.8340336134453782,0.8494022576677983,0.8343284770320835,0.8254968688868053
100.0,1.0,0.8340336134453782,0.8494022576677983,0.8343284770320835,0.8254968688868053
0.5,1.0,0.8277310924369747,0.8593042913353856,0.8280391688559828,0.8151468081448187
100.0,10.0,0.8235294117647058,0.856749164355309,0.8238330281559324,0.8108033181924809
10.0,10.0,0.8235294117647058,0.856749164355309,0.8238330281559324,0.8108033181924809
1.0,10.0,0.8235294117647058,0.856749164355309,0.8238330281559324,0.8108033181924809
0.05,0.1,0.792016806722689,0.8100876076534725,0.7919088183000292,0.7928792175811652
0.75,10.0,0.8004201680672269,0.8427755213776998,0.8006262771010801,0.7906522878032706
0.25,1.0,0.8025210084033614,0.8483721841153592,0.8028686675689304,0.7841654739301397
10.0,0.0001,0.7752100840336135,0.7795466611942108,0.7750709869171776,0.7723188609714183
1.0,0.001,0.773109243697479,0.7780528878217954,0.7729745508584772,0.7704931458940663
0.5,10.0,0.7647058823529411,0.8242185527445337,0.7649868641031765,0.746533290150955
0.25,10.0,0.7394957983193278,0.8163700768895007,0.7397898256508241,0.7150930696632951
0.01,0.1,0.7058823529411765,0.7524489953334105,0.7057691797362206,0.7135550385263897
0.75,0.001,0.7037815126050421,0.719939705165879,0.7036727436775204,0.6972526248760215
0.05,1.0,0.6953781512605042,0.7553211233211233,0.6954064166865696,0.6805260125118932
0.01,1.0,0.5840336134453782,0.7158613083339077,0.5836186078603084,0.5614768229787522
0.5,0.001,0.5315126050420168,0.5818690196239747,0.5309556033224531,0.49779764697224754
0.05,10.0,0.5525210084033614,0.6253653149571518,0.5525170501287052,0.49713355878810345
0.01,10.0,0.5168067226890757,0.6498458344781267,0.5164795796513016,0.47442310287436457
0.25,0.001,0.4579831932773109,0.6400812637654743,0.45754053551999574,0.406105624067809
0.05,0.001,0.41386554621848737,0.3087962962962963,0.4129979035639413,0.3049291969794062
0.01,0.001,0.41386554621848737,0.3087962962962963,0.4129979035639413,0.3049291969794062
1.0,0.0001,0.35294117647058826,0.360572473503508,0.35237374943608524,0.22466174590965612
0.5,0.0001,0.3550420168067227,0.33673717481157306,0.35429769392033544,0.21511116002641426
0.01,0.0001,0.3550420168067227,0.32504126837882447,0.35429769392033544,0.214857240138139
0.25,0.0001,0.3550420168067227,0.32504126837882447,0.35429769392033544,0.214857240138139
0.05,0.0001,0.3550420168067227,0.32504126837882447,0.35429769392033544,0.214857240138139
0.75,0.0001,0.3445378151260504,0.3336213007265639,0.3438287822094844,0.19771112962978873
